attempt_id,event_id,inserttime,metadata
1,1,12/31/2013 05:32:33,{}
1,2,12/31/2013 05:32:33,{}
1,3,12/31/2013 05:32:46,"{'qid': '1455', 'qno': '1'}"
1,6,12/31/2013 05:33:33,{}
1,6,12/31/2013 05:34:33,{}
1,6,12/31/2013 05:35:33,{}
1,6,12/31/2013 05:36:34,{}
1,6,12/31/2013 05:37:34,{}
1,3,12/31/2013 05:37:53,"{'qid': '117086', 'qno': '2'}"
1,2,12/31/2013 05:38:07,{}
1,3,12/31/2013 05:38:09,"{'qid': '117086', 'qno': '2'}"
1,3,12/31/2013 05:38:15,"{'qid': '1455', 'qno': '1'}"
1,6,12/31/2013 05:38:33,{}
1,3,12/31/2013 05:39:28,"{'qid': '117086', 'qno': '2'}"
1,6,12/31/2013 05:39:33,{}
1,3,12/31/2013 05:40:08,"{'qid': '1455', 'qno': '1'}"
1,6,12/31/2013 05:40:33,{}
1,6,12/31/2013 05:41:33,{}
1,3,12/31/2013 05:42:00,"{'qid': '117086', 'qno': '2'}"
1,3,12/31/2013 05:42:08,"{'qid': '1455', 'qno': '1'}"
1,6,12/31/2013 05:42:33,{}
1,3,12/31/2013 05:44:06,"{'qid': '117086', 'qno': '2'}"
1,6,12/31/2013 05:44:32,{}
1,6,12/31/2013 05:45:34,{}
1,6,12/31/2013 05:46:32,{}
1,6,12/31/2013 05:48:32,{}
1,6,12/31/2013 05:49:32,{}
1,6,12/31/2013 05:50:32,{}
1,6,12/31/2013 05:51:33,{}
1,6,12/31/2013 05:52:32,{}
1,6,12/31/2013 05:53:32,{}
1,6,12/31/2013 05:55:32,{}
1,6,12/31/2013 05:56:31,{}
1,6,12/31/2013 05:58:31,{}
1,6,12/31/2013 05:59:30,{}
1,6,12/31/2013 06:00:30,{}
1,6,12/31/2013 06:01:32,{}
1,6,12/31/2013 06:02:30,{}
1,6,12/31/2013 06:03:32,{}
1,6,12/31/2013 06:04:31,{}
1,6,12/31/2013 06:05:29,{}
1,6,12/31/2013 06:06:31,{}
1,6,12/31/2013 06:07:30,{}
1,6,12/31/2013 06:08:29,{}
1,6,12/31/2013 06:09:29,{}
1,3,12/31/2013 06:10:08,"{'qid': '1455', 'qno': '1'}"
1,6,12/31/2013 06:10:32,{}
1,3,12/31/2013 06:10:54,"{'qid': '117086', 'qno': '2'}"
1,6,12/31/2013 06:11:33,{}
1,6,12/31/2013 06:12:32,{}
1,6,12/31/2013 06:13:34,{}
1,6,12/31/2013 06:14:33,{}
1,6,12/31/2013 06:15:32,{}
1,6,12/31/2013 06:17:32,{}
1,6,12/31/2013 06:18:31,{}
1,6,12/31/2013 06:19:34,{}
1,6,12/31/2013 06:20:33,{}
1,6,12/31/2013 06:21:32,{}
1,6,12/31/2013 06:22:33,{}
1,6,12/31/2013 06:23:31,{}
1,6,12/31/2013 06:24:31,{}
1,6,12/31/2013 06:25:31,{}
1,6,12/31/2013 06:26:32,{}
1,6,12/31/2013 06:28:30,{}
1,6,12/31/2013 06:29:32,{}
1,6,12/31/2013 06:30:30,{}
1,6,12/31/2013 06:31:30,{}
1,3,12/31/2013 06:32:13,"{'qid': '1455', 'qno': '1'}"
1,6,12/31/2013 06:32:33,{}
1,6,12/31/2013 06:33:33,{}
1,6,12/31/2013 06:34:33,{}
1,6,12/31/2013 06:35:33,{}
1,6,12/31/2013 06:36:34,{}
1,6,12/31/2013 06:37:32,{}
1,3,12/31/2013 06:38:16,"{'qid': '117086', 'qno': '2'}"
1,3,12/31/2013 06:38:24,"{'qid': '1455', 'qno': '1'}"
1,6,12/31/2013 06:38:32,{}
1,6,12/31/2013 06:40:32,{}
1,6,12/31/2013 06:41:31,{}
1,6,12/31/2013 06:42:33,{}
1,6,12/31/2013 06:43:31,{}
1,6,12/31/2013 06:44:30,{}
1,6,12/31/2013 06:45:30,{}
1,6,12/31/2013 06:46:29,{}
1,6,12/31/2013 06:47:30,{}
1,6,12/31/2013 06:47:31,{}
1,5,12/31/2013 06:47:47,{'qid': '1455'}
1,5,12/31/2013 06:48:13,{'qid': '1455'}
1,6,12/31/2013 06:48:30,{}
1,5,12/31/2013 06:49:11,{'qid': '1455'}
1,5,12/31/2013 06:49:27,{'qid': '1455'}
1,6,12/31/2013 06:49:29,{}
1,6,12/31/2013 06:50:29,{}
1,6,12/31/2013 06:51:28,{}
1,6,12/31/2013 06:51:29,{}
1,6,12/31/2013 06:52:29,{}
1,6,12/31/2013 06:53:28,{}
1,6,12/31/2013 06:55:29,{}
1,5,12/31/2013 06:56:14,{'qid': '1455'}
1,6,12/31/2013 06:56:28,{}
1,6,12/31/2013 06:57:29,{}
1,6,12/31/2013 06:58:27,{}
1,5,12/31/2013 06:59:00,{'qid': '1455'}
1,6,12/31/2013 06:59:27,{}
1,3,12/31/2013 06:59:59,"{'qid': '117086', 'qno': '2'}"
1,6,12/31/2013 07:00:33,{}
1,6,12/31/2013 07:01:34,{}
2,1,12/31/2013 05:37:14,{}
2,2,12/31/2013 05:37:14,{}
2,6,12/31/2013 05:38:15,{}
2,6,12/31/2013 05:39:15,{}
2,2,12/31/2013 05:39:42,{}
2,3,12/31/2013 05:39:50,"{'qid': '1455', 'qno': '1'}"
2,6,12/31/2013 05:40:15,{}
2,6,12/31/2013 05:41:14,{}
2,6,12/31/2013 05:42:16,{}
2,6,12/31/2013 05:43:15,{}
2,6,12/31/2013 05:44:14,{}
2,6,12/31/2013 05:44:15,{}
2,6,12/31/2013 05:45:14,{}
2,6,12/31/2013 05:46:16,{}
2,6,12/31/2013 05:47:15,{}
2,6,12/31/2013 05:48:15,{}
2,6,12/31/2013 05:49:14,{}
2,6,12/31/2013 05:50:15,{}
2,6,12/31/2013 05:51:14,{}
2,6,12/31/2013 05:52:16,{}
2,6,12/31/2013 05:53:15,{}
2,6,12/31/2013 05:54:15,{}
2,6,12/31/2013 05:55:14,{}
2,6,12/31/2013 05:56:15,{}
2,6,12/31/2013 05:58:15,{}
2,6,12/31/2013 05:59:14,{}
2,6,12/31/2013 06:00:15,{}
2,6,12/31/2013 06:01:14,{}
2,6,12/31/2013 06:02:15,{}
2,6,12/31/2013 06:03:14,{}
2,6,12/31/2013 06:04:15,{}
2,6,12/31/2013 06:05:14,{}
2,6,12/31/2013 06:06:15,{}
2,6,12/31/2013 06:07:14,{}
2,6,12/31/2013 06:08:15,{}
2,6,12/31/2013 06:09:14,{}
2,6,12/31/2013 06:10:16,{}
2,5,12/31/2013 06:10:59,{'qid': '1455'}
2,6,12/31/2013 06:11:14,{}
2,5,12/31/2013 06:11:30,{'qid': '1455'}
2,5,12/31/2013 06:11:49,{'qid': '1455'}
2,6,12/31/2013 06:12:14,{}
2,5,12/31/2013 06:12:30,{'qid': '1455'}
2,6,12/31/2013 06:13:15,{}
2,5,12/31/2013 06:13:23,{'qid': '1455'}
2,4,12/31/2013 06:13:46,"{'qid': '1455', 'qno': '1'}"
2,3,12/31/2013 06:13:47,"{'qid': '117086', 'qno': '2'}"
2,6,12/31/2013 06:14:14,{}
2,6,12/31/2013 06:15:15,{}
2,6,12/31/2013 06:16:14,{}
2,3,12/31/2013 06:16:30,"{'qid': '1455', 'qno': '1'}"
2,3,12/31/2013 06:16:35,"{'qid': '117086', 'qno': '2'}"
2,6,12/31/2013 06:17:14,{}
2,6,12/31/2013 06:18:15,{}
2,6,12/31/2013 06:19:15,{}
2,6,12/31/2013 06:20:15,{}
2,6,12/31/2013 06:21:15,{}
2,6,12/31/2013 06:22:14,{}
2,6,12/31/2013 06:23:15,{}
2,6,12/31/2013 06:24:15,{}
2,6,12/31/2013 06:25:15,{}
2,6,12/31/2013 06:26:15,{}
2,6,12/31/2013 06:27:14,{}
2,6,12/31/2013 06:28:15,{}
2,6,12/31/2013 06:29:14,{}
2,6,12/31/2013 06:30:15,{}
2,6,12/31/2013 06:31:15,{}
2,6,12/31/2013 06:32:14,{}
2,6,12/31/2013 06:33:15,{}
2,6,12/31/2013 06:34:14,{}
